model,threshold,precision,recall,f1,accuracy,true_negative,false_positive,false_negative,true_positive,predicted_churn
Logistic Regression,0.118,0.9885356023287057,0.9987331463215998,0.9936082102988837,0.987301019495618,3,128,14,11037,11165
Logistic Regression,0.119,0.9885356023287057,0.9987331463215998,0.9936082102988837,0.987301019495618,3,128,14,11037,11165
Logistic Regression,0.12,0.9885356023287057,0.9987331463215998,0.9936082102988837,0.987301019495618,3,128,14,11037,11165
Logistic Regression,0.121,0.9885356023287057,0.9987331463215998,0.9936082102988837,0.987301019495618,3,128,14,11037,11165
Logistic Regression,0.122,0.9885356023287057,0.9987331463215998,0.9936082102988837,0.987301019495618,3,128,14,11037,11165
Logistic Regression,0.123,0.9885356023287057,0.9987331463215998,0.9936082102988837,0.987301019495618,3,128,14,11037,11165
Logistic Regression,0.124,0.9885356023287057,0.9987331463215998,0.9936082102988837,0.987301019495618,3,128,14,11037,11165
Logistic Regression,0.125,0.9885356023287057,0.9987331463215998,0.9936082102988837,0.987301019495618,3,128,14,11037,11165
Logistic Regression,0.126,0.9885356023287057,0.9987331463215998,0.9936082102988837,0.987301019495618,3,128,14,11037,11165
Logistic Regression,0.127,0.9885356023287057,0.9987331463215998,0.9936082102988837,0.987301019495618,3,128,14,11037,11165
Logistic Regression,0.128,0.9885356023287057,0.9987331463215998,0.9936082102988837,0.987301019495618,3,128,14,11037,11165
Logistic Regression,0.129,0.9885356023287057,0.9987331463215998,0.9936082102988837,0.987301019495618,3,128,14,11037,11165
Logistic Regression,0.13,0.9885356023287057,0.9987331463215998,0.9936082102988837,0.987301019495618,3,128,14,11037,11165
Logistic Regression,0.131,0.9885356023287057,0.9987331463215998,0.9936082102988837,0.987301019495618,3,128,14,11037,11165
Logistic Regression,0.132,0.9885356023287057,0.9987331463215998,0.9936082102988837,0.987301019495618,3,128,14,11037,11165
Logistic Regression,0.133,0.9885356023287057,0.9987331463215998,0.9936082102988837,0.987301019495618,3,128,14,11037,11165
Logistic Regression,0.134,0.9885356023287057,0.9987331463215998,0.9936082102988837,0.987301019495618,3,128,14,11037,11165
Logistic Regression,0.135,0.9885356023287057,0.9987331463215998,0.9936082102988837,0.987301019495618,3,128,14,11037,11165
Logistic Regression,0.136,0.9885356023287057,0.9987331463215998,0.9936082102988837,0.987301019495618,3,128,14,11037,11165
Logistic Regression,0.137,0.9885356023287057,0.9987331463215998,0.9936082102988837,0.987301019495618,3,128,14,11037,11165
Logistic Regression,0.138,0.9885335483293022,0.9985521672246855,0.9935176015125596,0.9871221606152746,3,128,16,11035,11163
Logistic Regression,0.139,0.9885335483293022,0.9985521672246855,0.9935176015125596,0.9871221606152746,3,128,16,11035,11163
Logistic Regression,0.14,0.9885335483293022,0.9985521672246855,0.9935176015125596,0.9871221606152746,3,128,16,11035,11163
Logistic Regression,0.141,0.9885335483293022,0.9985521672246855,0.9935176015125596,0.9871221606152746,3,128,16,11035,11163
Logistic Regression,0.142,0.9885335483293022,0.9985521672246855,0.9935176015125596,0.9871221606152746,3,128,16,11035,11163
Logistic Regression,0.143,0.9885335483293022,0.9985521672246855,0.9935176015125596,0.9871221606152746,3,128,16,11035,11163
Logistic Regression,0.144,0.9885335483293022,0.9985521672246855,0.9935176015125596,0.9871221606152746,3,128,16,11035,11163
Logistic Regression,0.145,0.9885335483293022,0.9985521672246855,0.9935176015125596,0.9871221606152746,3,128,16,11035,11163
Logistic Regression,0.146,0.9885335483293022,0.9985521672246855,0.9935176015125596,0.9871221606152746,3,128,16,11035,11163
Logistic Regression,0.147,0.9885335483293022,0.9985521672246855,0.9935176015125596,0.9871221606152746,3,128,16,11035,11163
Logistic Regression,0.148,0.9885335483293022,0.9985521672246855,0.9935176015125596,0.9871221606152746,3,128,16,11035,11163
Logistic Regression,0.149,0.9885325210535746,0.9984616776762284,0.9934722910007653,0.9870327311751028,3,128,17,11034,11162
Logistic Regression,0.15,0.9885325210535746,0.9984616776762284,0.9934722910007653,0.9870327311751028,3,128,17,11034,11162
Logistic Regression,0.151,0.9885325210535746,0.9984616776762284,0.9934722910007653,0.9870327311751028,3,128,17,11034,11162
Logistic Regression,0.152,0.9885284101093386,0.9980997194823997,0.9932910081498492,0.986675013414416,3,128,21,11030,11158
Logistic Regression,0.153,0.9885284101093386,0.9980997194823997,0.9932910081498492,0.986675013414416,3,128,21,11030,11158
Logistic Regression,0.154,0.9885284101093386,0.9980997194823997,0.9932910081498492,0.986675013414416,3,128,21,11030,11158
Logistic Regression,0.155,0.9885263535317318,0.9979187403854854,0.9932003422344305,0.9864961545340726,3,128,23,11028,11156
Logistic Regression,0.156,0.9885253249663828,0.9978282508370283,0.9931550031523012,0.9864067250939009,3,128,24,11027,11155
Logistic Regression,0.157,0.9885253249663828,0.9978282508370283,0.9931550031523012,0.9864067250939009,3,128,24,11027,11155
Logistic Regression,0.158,0.9885242962166039,0.9977377612885712,0.9931096599864895,0.9863172956537292,3,128,25,11026,11154
Logistic Regression,0.159,0.9885242962166039,0.9977377612885712,0.9931096599864895,0.9863172956537292,3,128,25,11026,11154
Logistic Regression,0.16,0.9885232672823455,0.997647271740114,0.9930643127364439,0.9862278662135575,3,128,26,11025,11153
Logistic Regression,0.161,0.9885201793721973,0.9973758030947426,0.992928246475384,0.9859595778930423,3,128,29,11022,11150
Logistic Regression,0.162,0.9885191496995246,0.9972853135462854,0.9928828828828828,0.9858701484528707,3,128,30,11021,11149
Logistic Regression,0.163,0.9885191496995246,0.9972853135462854,0.9928828828828828,0.9858701484528707,3,128,30,11021,11149
Logistic Regression,0.164,0.9885181198421241,0.9971948239978282,0.9928375152033876,0.985780719012699,3,128,31,11020,11148
Logistic Regression,0.165,0.988516059572941,0.9970138449009139,0.9927467675812046,0.9856018601323556,3,128,33,11018,11146
Logistic Regression,0.166,0.9885150291610588,0.9969233553524568,0.9927013876374121,0.9855124306921839,3,128,34,11017,11145
Logistic Regression,0.167,0.9885139985642498,0.9968328658039997,0.9926560036044154,0.9854230012520122,3,128,35,11016,11144
Logistic Regression,0.168,0.9885129677824643,0.9967423762555425,0.9926106154816617,0.9853335718118404,3,128,36,11015,11143
Logistic Regression,0.169,0.9885129677824643,0.9967423762555425,0.9926106154816617,0.9853335718118404,3,128,36,11015,11143
